"Name_John Brown","Name_John Jones","Name_John Smith","Name_John Taylor","Name_John Williams","Name_William Smith","Name_infrequent_sklearn","Short description_American baseball player","Short description_American politician","Short description_Canadian politician","Short description_French politician","Short description_politician","Short description_nan","Short description_infrequent_sklearn","Gender_Eunuch; Male","Gender_Female","Gender_Male","Gender_Transgender Female","Gender_Transgender Male","Gender_nan","Gender_infrequent_sklearn","Country_France","Country_Germany","Country_Sweden","Country_United Kingdom; United Kingdom of Great Britain and Ireland","Country_United States of America","Country_nan","Country_infrequent_sklearn","Occupation_Artist","Occupation_Athlete","Occupation_Military personnel","Occupation_Politician","Occupation_Researcher","Occupation_nan","Occupation_infrequent_sklearn","Birth year","Death year","Manner of death_accident","Manner of death_capital punishment","Manner of death_homicide","Manner of death_natural causes","Manner of death_suicide","Manner of death_nan","Manner of death_infrequent_sklearn","Age of death","target"
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1938,1980.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,42.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1769,1821.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,52.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1822,1895.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,73.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1802,1885.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,83.0,83.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1807,1882.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75.0,75.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1712,1779.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,67.0,67.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1719,1786.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,67.0,67.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1896,1986.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0,90.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1877,1960.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,83.0,83.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1524,1580.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,56.0,56.0
